,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
150,Ryan Russell has a left-handed shot.,Canadian ice hockey a player is hockey player shooting with left hand,Who is a player is hockey player shooting with left hand?,Which side ,Which hand does  Canadian ice hockey player shoot with?,Athlete
151,Ryan Russell has a left-handed shot.,Canadian ice hockey player has a left-handed shot,Who has a left-handed shot?,What is the relation between Canadian ice hockey player and the left-hand shot?,What does the canadian ice hockey player has?,Athlete
152,Marco Zanotti is different from Marco Zanotti.,"Italian road bicycle racer, born 1974 is different from cyclist, born 1988.","Who is is different from cyclist, born 1988?","Are Italian road bicycle racer, born 1974 and  cyclist, born 1988 the same?","Who is different from   Italian road bicycle racer, born 1974?",Athlete
153,Marco Zanotti is different from Marco Zanotti.,The Italian road bicycle racer is different from the cyclist,Who is different from the cyclist,What is the relation between the Italian road bicycle racer and the cyclist?,Who is different from the italian road bicycle racer?,Athlete
154,Jared Staal's sibling is Marc Staal.,Canadian ice hockey player's sibling is Canadian ice hockey player. ,Who is Canadian ice hockey player's sibling?,What is the relation between Canadian ice hockey player and Canadian ice hockey player?,Who is Canadian ice hockey player's sibling?,Athlete
155,Jared Staal's sibling is Marc Staal.,The Canadian ice hockey player's sibling is the Canadian ice hockey player,Who is the Canadian ice hockey player?,What is the relation between the Canadian ice hockey player's sibling and the canadian ice hockey player?,Who is the sibling of the canadian ice hockey player?,Athlete
156,Armond Hill's work period (end) was in 1984.,American basketball player and coach's work period (end) was in 1984.,Whose work period (end) was in 1984?,What happens to american basketball player and coach's work period in 1984?,When does American basketball player and coach work period end?,Athlete
157,Armond Hill's work period (end) was in 1984.,The American basketball player and coach's work period was in 1984,Whose work period was in 1984?,What is the relation between the American basketball player and coach's work period and 1984,When was the work period of the american basketball player?,Athlete
158,Kakha Kaladze's birth name is კახა კალაძე.,Association footballer's birth name is კახა კალაძე.,Whose birth name is კახა კალაძე?,What is the relation between Association footballer and the name  კახა კალაძე?,What is Association footballer's birth name?,Athlete
159,Kakha Kaladze's birth name is კახა კალაძე.,The Association footballer's birth name is კახა კალაძე,Who has the birth name კახა კალაძე?,What is the relation between The Association footballer and the name კახა კალაძე ,How is the birth name of the associaction footballer?,Athlete
160,Ikuko Kitamori is known in kana as きたもり いくこ.,Japanese discus thrower is known in kana as きたもり いくこ.,Who is known in kana as きたもり いくこ?,What is the relation between Japanese discus thrower and the name きたもり いくこ in kana?,What is Japanese discus thrower name in kana?,Athlete
161,Ikuko Kitamori is known in kana as きたもり いくこ.,Japanese discus thrower is known as  きたもり いくこ,Who is known as  きたもり いくこ,What is the relation between Japanese discus thrower and  きたもり いくこ,How is the Japanese discus thrower is known as ?,Athlete
162,Vinicius Frasson has a sport number of 38.,Brazilian footballer has a sport number of 38.,Who has a sport number of 38?,What is the relation between Brazilian footballer and the sport number of 38?,What sport number does Brazilian footballer have?,Athlete
163,Vinicius Frasson has a sport number of 38.,The Brazilian footballer has a two-digit sport number,Who has a two-digit sport number?,What is the relation between the Brazilian footballer and a two-digit sport number,What does the Brazilian footballer has ?,Athlete
164,Tirto's title of chess person is the International Master.,Chess player's title of chess person is the title in chess awarded by FIDE.,Whose title of chess person is the title in chess awarded by FIDE?,What does ,What is chess player's title of chess person?,Athlete
165,Tirto's title of chess person is the International Master.,The chess player's title of chess person is a title in chess awarded by FIDE,Whose title of chess person is a title in chess awarded by FIDE?, What is the relation between the chess player's title of chess person and a title in chess awarded by FIDE,What is the chess player's title of chess person ?,Athlete
166,Ali Yücel's native language is Turkish.,Turkish amateur wrestler (1930-1981) native language is Turkic language.,Whose  native language is Turkic language?,What is the relation between Turkish amateur wrestler (1930-1981) and   Turkic language?,What is Turkish amateur wrestler (1930-1981) native language?,Athlete
167,Ali Yücel's native language is Turkish.,The Turkish amateur wrestler's native language is Turkic language,Whose native language is Turkic language?, What is the relation between the Turkish amateur wrestler's native language and the Turkic language,Which is the native language of the turkish amateur wrestler?,Athlete
168,Maciej Lewandowski competed in the men's singles.,Figure skater competed in the competition class in figure skating.,Who competed in the competition class in figure skating?,What did figure skater do in the competition class in figure skating?,Where did figure skater compete?,Athlete
169,Maciej Lewandowski competed in the men's singles.,The figure skater competed in a competition class in figure skating,Who competed in a competition class in figure skating?, What is the relation between the figure skater and a competition class in figure skating,Where did the figure skater compete in ?,Athlete
