,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
107,Arie de Boo's sex or gender is male.,What is the gender of the person who is a male?,What is Arie de Boo's gender?,What is Arie de Boo's gender?,Politician,A person's sex or gender is a gender.,What is a gender?,What is the relation between a person and a gender?,What is a person's sex or gender?,Politician
108,Yahachi Kawai is a member of the House of Peers.,Who is a member of the House of Peers?,What is Yahachi Kawai's position in the House of Peers?,What is Yahachi Kawai's position?,Politician,Japanese politician is member of House of Peers.,Who is member of House of Peers?,What is the relationship between the japanesee politician and House of Peers?,What is the Japanese politician member of?,Politician
109,Yahachi Kawai is a member of the House of Peers.,Who is a member of the House of Peers?,What is Yahachi Kawai's position in the House of Peers?,What is Yahachi Kawai's position?,Politician,A person is a member of a parliament.,Who is a member of a parliament?,What is the relation between a person and a parliament?,What is a person a member of?,Politician
110,Paul Porter is a politician.,Who is a politician?,What is Paul Porter's job?,What is Paul Porter's profession?,Politician,Michigan Politician is a politician,who is a politician?,what is the relationship between Michigan Politician and politician?,what is Michigan politician?,Politician
111,Paul Porter is a politician.,Who is a politician?,What is Paul Porter's job?,What is Paul Porter's profession?,Politician,A person is a politician.,Who is a politician?,-,What is a person?,Politician
112,Behavioral and neurochemical consequences of long-term intravenous self-administration of MDMA and its enantiomers by rhesus monkeys. Issue 7.,What is the main topic of this study?,What is the number 7 of the consequences of MDMA and its enantiomers?,What is the number of issues that have been analyzed?,ChemicalCompound,An article has an issue x.,What article has an issue x?,What is the relation between an article and x?,What issue does an article have?,Chemical
113,Behavioral and neurochemical consequences of long-term intravenous self-administration of MDMA and its enantiomers by rhesus monkeys. Issue 7.,What is the main topic of this study?,What is the number 7 of the consequences of MDMA and its enantiomers?,What is the number of issues that have been analyzed?,ChemicalCompound,An article has an issue x.,What article has an issue x?,What is the relation between an article and x?,What issue does an article have?,Chemical
114,α-D-xylopyranose is a stereoisomer of β-L-arabinopyranose.,What is a stereoisomer of <unk>-L-arabinopyranose?,,,ChemicalCompound,A chemical compound is a stereoisomer of a chemical compound.,What chemical compound is a stereoisomer of a chemical compound?,What is the relation between two chemical compounds?,What chemical compound is a stereoisomer of a chemical compound?,Chemical
115,α-D-xylopyranose is a stereoisomer of β-L-arabinopyranose.,What is a stereoisomer of <unk>-L-arabinopyranose?,,,ChemicalCompound,A chemical compound is a stereoisomer of a chemical compound.,What chemical compound is a stereoisomer of a chemical compound?,What is the relation between two chemical compounds?,What chemical compound is a stereoisomer of a chemical compound?,Chemical
116,"A chronic treatment with a serotonin(2) receptor (5-HT(2)R) agonist modulates the behavioral and cellular response to (+)-3,4-methylenedioxymethamphetamine [(+)-MDMA]. The volume is 81.",What is the effect of a serotonin(2) receptor?,,,ChemicalCompound,The volume of an article is x.,What article has a volume x?,What is the relation between an article and x?,What volume does an article have?,Chemical
117,"A chronic treatment with a serotonin(2) receptor (5-HT(2)R) agonist modulates the behavioral and cellular response to (+)-3,4-methylenedioxymethamphetamine [(+)-MDMA]. The volume is 81.",What is the effect of a serotonin(2) receptor?,,,ChemicalCompound,The volume of an article is x.,What article has a volume x?,What is the relation between an article and x?,What volume does an article have?,Chemical
118,Effects of MDMA (ecstasy) and two of its metabolites on rat embryos in vitro.,What is the effect of MDMA on rat embryos?,What is the title of the study?,What is the effect of MDMA on rat embryos?,ChemicalCompound,-,-,-,-,Chemical
119,Effects of MDMA (ecstasy) and two of its metabolites on rat embryos in vitro.,What is the effect of MDMA on rat embryos?,What is the title of the study?,What is the effect of MDMA on rat embryos?,ChemicalCompound,-,-,-,-,Chemical
120,Cromoglicic acid is a World Health Organisation International Nonproprietary Name.,What is the World Health Organization's International Nonproprietary Name?,What is Cromoglicic acid?,What is the World Health Organization's International Nonproprietary Name?,ChemicalCompound,-,-,-,-,Chemical
121,Cromoglicic acid is a World Health Organisation International Nonproprietary Name.,What is the World Health Organization's International Nonproprietary Name?,What is Cromoglicic acid?,What is the World Health Organization's International Nonproprietary Name?,ChemicalCompound,-,-,-,-,Chemical
122,Hakone Onsen is located in the administrative territorial entity of Hakone.,What is the name of the island located in the administrative territorial entity of Hakone?,Where is Hakone Onsen located?,What is the administrative territorial entity of?,ChemicalCompound,An onsen is located in a town.,What onsen is located in a town?,What is the relation between an onsen and a town? ,What town is an onsen located in?,Chemical
123,Hakone Onsen is located in the administrative territorial entity of Hakone.,What is the name of the island located in the administrative territorial entity of Hakone?,Where is Hakone Onsen located?,What is the administrative territorial entity of?,ChemicalCompound,An onsen is located in a town.,What onsen is located in a town?,What is the relation between an onsen and a town? ,What town is an onsen located in?,Chemical
124,A-68930 interacts physically with the Dopamine receptor D5.,What is the name of the molecule that interacts with the Dopamine receptor D5?,How does A-68930 interact with the Dopamine receptor?,What does A-68930 interact with?,ChemicalCompound,A chemical compound interacts physically with a protein.,What chemical compound interacts physically with a protein?,What is the relation between a chemical compound and a protein?,What protein does a chemical compound physically interacts with?,Chemical
125,A-68930 interacts physically with the Dopamine receptor D5.,What is the name of the molecule that interacts with the Dopamine receptor D5?,How does A-68930 interact with the Dopamine receptor?,What does A-68930 interact with?,ChemicalCompound,A chemical compound interacts physically with a protein.,What chemical compound interacts physically with a protein?,What is the relation between a chemical compound and a protein?,What protein does a chemical compound physically interacts with?,Chemical
126,Acepromazine has a role in antipsychotics.,What is a drug that has a role in antipsychotics?,What does acepromazine do?,What is Acepromazine used for?,ChemicalCompound,A chemical compound has a role in a medication.,What chemical compound has a role in a medication?,What is the relation between a chemical compound and a medication?,What medication does a chemical compound have a role in?,Chemical
127,Acepromazine has a role in antipsychotics.,What is a drug that has a role in antipsychotics?,What does acepromazine do?,What is Acepromazine used for?,ChemicalCompound,A chemical compound has a role in a medication.,What chemical compound has a role in a medication?,What is the relation between a chemical compound and a medication?,What medication does a chemical compound have a role in?,Chemical
